2021-10-16 18:34:38, DEBUG: Popen(['git', 'cat-file', '--batch-check'], cwd=/home/jia/Documents/MasterProject/CrowdNav-master/crowd_nav, universal_newlines=False, shell=None, istream=<valid stream>)
2021-10-16 18:34:38, INFO: Current git head hash code: %s
2021-10-16 18:34:38, INFO: Using device: cpu
2021-10-16 18:34:38, INFO: Policy: LSTM-GA3C w/o pairwise interaction module
2021-10-16 18:34:38, INFO: human number: 5
2021-10-16 18:34:38, INFO: Not randomize human's radius and preferred speed
2021-10-16 18:34:38, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-10-16 18:34:38, INFO: Square width: 10.0, circle width: 4.0
2021-10-16 18:34:38, INFO: Current learning rate: 0.010000
2021-10-16 18:34:38, INFO: Orca_danger_dist: 1.00
2021-10-16 18:34:38, INFO: Policy: ORCA_discrete without occupancy map
2021-10-16 18:34:38, INFO: Dynamic Obstacle Set FALSE!
2021-10-16 18:34:38, DEBUG: update action set TRUE
2021-10-16 18:37:30, INFO: TRAIN has success rate: 0.61, collision rate: 0.19, nav time: 15.16, total reward: 0.0679
2021-10-16 18:37:38, DEBUG: Average loss in epoch 0: 1.32E-03
2021-10-16 18:37:46, DEBUG: Average loss in epoch 1: 1.24E-03
2021-10-16 18:37:46, INFO: Finish imitation learning. Weights saved.
2021-10-16 18:37:46, INFO: Experience set size: 10000/10000
2021-10-16 18:37:46, INFO: Agent is invisible and has holonomic kinematic constraint
2021-10-16 18:37:46, INFO: Current learning rate: 0.001000
2021-10-16 18:37:50, INFO: TRAIN in episode 0 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -5.79E-01
2021-10-16 18:37:54, INFO: TRAIN in episode 1 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0020, loss: -6.01E-01
2021-10-16 18:37:56, INFO: TRAIN in episode 2 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1076, loss: -1.01E+00
2021-10-16 18:38:01, INFO: TRAIN in episode 3 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.1216, loss: -6.36E-01
2021-10-16 18:38:05, INFO: TRAIN in episode 4 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -1.06E+00
2021-10-16 18:38:10, INFO: TRAIN in episode 5 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -1.08E+00
2021-10-16 18:38:14, INFO: TRAIN in episode 6 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -5.99E-01
2021-10-16 18:38:19, INFO: TRAIN in episode 7 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -6.29E-01
2021-10-16 18:38:23, INFO: TRAIN in episode 8 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0131, loss: -9.81E-01
2021-10-16 18:38:23, INFO: TRAIN in episode 9 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.2435, loss: -1.10E+00
2021-10-16 18:38:28, INFO: TRAIN in episode 10 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000, loss: -4.77E-01
